gene_id_base	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds
ENSMUSG00000053581	Zfand2a	ENSMUST00000079996.13	54	7	17	61	10	30	2331	325	513
ENSMUSG00000053593	Fate1	ENSMUST00000066116.8	0	0	0	0	0	0	447	194	297
ENSMUSG00000053600	Zfp472	ENSMUST00000039132.9	558	3	86	19	6	68	679	95	1602
ENSMUSG00000053604	Rpia	ENSMUST00000066134.6	12	0	15	13	0	32	837	83	909
ENSMUSG00000053617	Sh3pxd2a	ENSMUST00000081619.10	243	4	124	161	8	206	6816	266	3372
ENSMUSG00000053624	Gykl1	ENSMUST00000066193.5	0	0	2	0	0	1	182	32	1647
ENSMUSG00000053626	Tll1	ENSMUST00000066166.6	5	0	27	0	0	1	1118	610	3039
ENSMUSG00000053641	Dennd4a	ENSMUST00000038890.6	64	30	279	23	6	117	2575	463	5607
ENSMUSG00000053644	Aldh7a1	ENSMUST00000174518.8	56	3	437	66	37	579	2234	364	1533
ENSMUSG00000053646	Plxnb1	ENSMUST00000072093.13	58	0	379	49	0	259	1976	316	6357
ENSMUSG00000053647	Gper1	ENSMUST00000066211.5	0	0	4	0	0	0	774	638	1125
ENSMUSG00000053654	Krt42	ENSMUST00000017270.8	0	0	291	55	0	301	186	0	1356
ENSMUSG00000053675	Tgm5	ENSMUST00000028721.8	0	0	0	0	0	0	271	170	2172
ENSMUSG00000053678	Defb40	ENSMUST00000066258.8	0	0	0	0	0	0	30	140	219
ENSMUSG00000053684	BC048403	ENSMUST00000065600.8	132	0	40	76	0	63	1749	39	1335
ENSMUSG00000053687	Dpep2	ENSMUST00000034373.8	0	0	5	0	0	1	110	158	1434
ENSMUSG00000053693	Mast1	ENSMUST00000109741.9	0	0	17	2	0	49	86	76	4710
ENSMUSG00000053695	Defb37	ENSMUST00000066282.4	0	0	0	0	0	0	84	82	186
ENSMUSG00000053702	Nebl	ENSMUST00000028080.12	4	0	2	5	0	1	4788	182	810
ENSMUSG00000053706	B430305J03Rik	ENSMUST00000066298.3	0	0	0	1	0	0	1545	1629	528
ENSMUSG00000053716	Dusp7	ENSMUST00000172306.3	32	0	24	48	4	29	1781	166	1266
ENSMUSG00000053719	Klk1b26	ENSMUST00000048945.6	0	0	0	0	0	0	51	552	783
ENSMUSG00000053720	Vmn2r43	ENSMUST00000066317.5	0	0	0	0	0	0	280	34	2535
ENSMUSG00000053729	Spinkl	ENSMUST00000066328.5	0	0	0	0	0	0	271	55	270
ENSMUSG00000053730	Tmem39b	ENSMUST00000102588.10	293	28	50	4	1	127	214	120	1476
ENSMUSG00000053742	Gm5114	ENSMUST00000108017.2	0	0	0	0	0	0	326	147	2574
ENSMUSG00000053746	Ptrh1	ENSMUST00000066352.6	27	0	2	19	1	32	296	44	612
ENSMUSG00000053747	Sox14	ENSMUST00000054819.10	0	0	1	0	0	6	859	486	720
ENSMUSG00000053754	Chd8	ENSMUST00000089752.11	79	0	3517	71	0	1431	444	0	7746
ENSMUSG00000053765	Oas1f	ENSMUST00000057814.5	0	0	0	1	0	3	363	25	1092
ENSMUSG00000053768	Chchd3	ENSMUST00000066379.11	170	30	724	126	51	340	689	180	681
ENSMUSG00000053769	Lysmd1	ENSMUST00000066386.6	8	21	0	11	2	13	987	729	678
ENSMUSG00000053773	Rdh8	ENSMUST00000066387.6	0	0	0	0	0	0	453	1	951
ENSMUSG00000053774	Ubxn7	ENSMUST00000115151.5	3625	5	920	437	8	243	8815	31	1467
ENSMUSG00000053783	1700016K19Rik	ENSMUST00000066408.6	0	0	1	0	1	4	87	150	684
ENSMUSG00000053790	Defb38	ENSMUST00000066416.4	0	0	0	0	0	0	60	37	189
ENSMUSG00000053797	Krt16	ENSMUST00000007280.9	0	0	0	0	0	7	146	12	1407
ENSMUSG00000053799	Exoc6	ENSMUST00000066439.8	16	0	175	15	1	88	1084	47	2412
ENSMUSG00000053801	Grwd1	ENSMUST00000131384.3	85	0	126	196	3	571	556	80	1338
ENSMUSG00000053815	Olfr744	ENSMUST00000213668.2	0	0	0	0	0	0	647	967	969
ENSMUSG00000053819	Camk2d	ENSMUST00000106399.8	7	1	3	7	1	12	2153	480	1536
ENSMUSG00000053820	Bcl2a1c	ENSMUST00000066460.5	0	0	0	0	0	0	39	21	384
ENSMUSG00000053825	Ppfia2	ENSMUST00000217854.2	0	0	5	0	0	0	4866	248	3771
ENSMUSG00000053835	H2-T24	ENSMUST00000113760.10	0	0	0	4	0	7	1044	49	1089
ENSMUSG00000053838	Nudcd3	ENSMUST00000066496.10	1189	0	351	687	19	515	2557	281	1089
ENSMUSG00000053841	Txlna	ENSMUST00000084264.12	477	2	297	402	5	508	2801	384	1662
ENSMUSG00000053846	Lipg	ENSMUST00000066532.5	160	0	41	10	3	19	1998	289	1500
ENSMUSG00000053852	Adgrg4	ENSMUST00000153784.8	0	0	0	0	0	2	102	8	9219
ENSMUSG00000053856	Dnajc5g	ENSMUST00000066544.5	0	0	0	2	0	1	964	106	495
ENSMUSG00000053861	Gm9925	ENSMUST00000066583.2	0	0	0	0	0	0	3	0	480
ENSMUSG00000053862	Slc51b	ENSMUST00000065894.7	0	0	0	0	0	0	86	239	384
ENSMUSG00000053863	Mepe	ENSMUST00000066207.4	0	0	0	0	0	0	293	66	1323
ENSMUSG00000053868	Gm5142	ENSMUST00000066558.4	0	0	0	0	0	0	185	42	399
ENSMUSG00000053870	Fpgt	ENSMUST00000066568.6	85	0	60	31	0	44	1701	47	1770
ENSMUSG00000053873	Aym1	ENSMUST00000066573.2	0	0	0	0	2	0	170	223	135
ENSMUSG00000053877	Srcap	ENSMUST00000066582.12	0	22	1967	2	53	371	1400	337	2808
ENSMUSG00000053886	Sh2d4a	ENSMUST00000066594.4	4	7	15	6	15	10	951	504	1263
ENSMUSG00000053896	4933409G03Rik	ENSMUST00000102713.11	0	0	10	0	0	2	125	254	960
ENSMUSG00000053897	Slc39a8	ENSMUST00000081978.10	5	0	0	0	0	2	1443	485	1386
ENSMUSG00000053898	Ech1	ENSMUST00000066264.13	1	0	279	40	5	339	142	144	981
ENSMUSG00000053907	Mat2a	ENSMUST00000059472.10	1060	0	391	581	67	809	1497	122	1185
ENSMUSG00000053909	Rhox10	ENSMUST00000115150.4	0	12	7	0	1	4	53	122	588
ENSMUSG00000053914	Kdm4d	ENSMUST00000058796.7	0	0	0	0	0	2	483	682	1530
ENSMUSG00000053916	Nanp	ENSMUST00000066640.5	116	0	6	39	6	102	578	72	744
ENSMUSG00000053929	Cyhr1	ENSMUST00000081291.13	49	5	59	62	3	179	2791	235	933
ENSMUSG00000053930	Shisa6	ENSMUST00000066679.7	0	0	0	0	0	1	3	0	1575
ENSMUSG00000053931	Cnn3	ENSMUST00000029773.13	970	30	286	390	191	1011	784	275	990
ENSMUSG00000053950	Adnp2	ENSMUST00000066743.11	221	0	636	73	11	406	1387	130	3495
ENSMUSG00000053961	Ang5	ENSMUST00000066719.6	0	0	0	0	0	0	157	108	435
ENSMUSG00000053963	Stum	ENSMUST00000136521.2	13	0	0	0	0	0	5945	138	423
ENSMUSG00000053964	Lgals4	ENSMUST00000066723.15	0	0	0	0	1	2	78	328	978
ENSMUSG00000053965	Pde5a	ENSMUST00000066728.10	35	0	28	18	0	10	4045	299	2595
ENSMUSG00000053977	Cd8a	ENSMUST00000066747.14	5	0	4	0	0	0	2261	126	741
ENSMUSG00000053985	Zfp14	ENSMUST00000207873.2	6	0	0	4	2	10	1697	211	1503
ENSMUSG00000054000	Tusc1	ENSMUST00000066774.6	11	0	0	1	0	2	668	91	615
ENSMUSG00000054003	Tdrd9	ENSMUST00000079009.11	0	0	8	5	0	5	577	83	4149
ENSMUSG00000054005	Mill1	ENSMUST00000066780.5	0	0	0	0	0	0	1041	263	1185
ENSMUSG00000054008	Ndst1	ENSMUST00000169273.2	259	2	118	74	5	90	3270	154	2646
ENSMUSG00000054013	Tmem179	ENSMUST00000066791.7	0	0	0	0	0	4	1557	124	699
ENSMUSG00000054021	Sirt5	ENSMUST00000223194.2	67	0	25	15	2	48	394	74	930
ENSMUSG00000054027	Nt5dc3	ENSMUST00000099396.3	111	0	42	64	0	44	4209	105	1638
ENSMUSG00000054033	Adam39	ENSMUST00000066814.7	0	0	0	0	0	0	196	172	2268
ENSMUSG00000054034	Tceal5	ENSMUST00000066819.11	6	0	0	0	2	1	240	204	600
ENSMUSG00000054036	Olfr279	ENSMUST00000216822.2	41	0	0	2	0	0	4234	441	930
ENSMUSG00000054046	Klk13	ENSMUST00000066834.8	0	0	7	2	3	8	804	177	828
ENSMUSG00000054051	Ercc6	ENSMUST00000066807.8	66	0	229	40	3	170	3891	89	4443
ENSMUSG00000054052	Rdh19	ENSMUST00000077530.3	0	0	0	0	0	0	842	93	954
ENSMUSG00000054054	Olfr309	ENSMUST00000174158.3	0	0	0	1	0	0	1714	655	924
ENSMUSG00000054057	A930004D18Rik	ENSMUST00000066163.3	42	6	0	11	4	5	1642	1104	471
ENSMUSG00000054065	Pkp3	ENSMUST00000066873.5	0	0	36	6	0	66	347	110	2391
ENSMUSG00000054072	Iigp1	ENSMUST00000066912.13	0	0	0	0	0	0	1584	104	1239
ENSMUSG00000054074	Skida1	ENSMUST00000066885.6	0	0	0	0	0	0	360	110	2466
ENSMUSG00000054079	Utp18	ENSMUST00000066888.10	105	0	1799	28	40	795	848	109	1656
ENSMUSG00000054083	Capn12	ENSMUST00000066880.6	0	0	2	0	0	5	578	302	2160
ENSMUSG00000054087	Fbxw28	ENSMUST00000112039.7	0	0	0	0	0	1	62	37	1398
ENSMUSG00000054091	1810037I17Rik	ENSMUST00000106429.6	221	4	53	157	21	135	708	257	195
ENSMUSG00000054099	Slc25a40	ENSMUST00000066921.10	109	3	215	39	6	45	1502	271	1011
ENSMUSG00000054102	Nlrp9a	ENSMUST00000108387.9	0	0	0	0	0	6	198	126	3012
ENSMUSG00000054106	Try4	ENSMUST00000031913.5	0	0	0	0	0	0	47	16	738
ENSMUSG00000054115	Skp2	ENSMUST00000096482.10	843	21	179	201	28	364	1672	174	1272
ENSMUSG00000054116	E130116L18Rik	ENSMUST00000066954.2	0	0	0	0	0	0	3	0	303
ENSMUSG00000054117	Zdhhc25	ENSMUST00000066949.9	0	0	0	2	0	0	369	162	837
ENSMUSG00000054128	H2-T3	ENSMUST00000102675.10	0	0	0	0	0	0	1001	159	1152
ENSMUSG00000054134	Umodl1	ENSMUST00000066554.13	0	0	0	0	0	0	894	69	4044
ENSMUSG00000054136	Adm2	ENSMUST00000066991.7	34	0	8	1	0	0	423	425	450
ENSMUSG00000054141	Olfr24	ENSMUST00000216754.3	10	0	6	0	0	0	3188	200	939
ENSMUSG00000054142	Vmn1r236	ENSMUST00000066998.5	0	0	0	0	0	0	30	89	1002
ENSMUSG00000054146	Krt15	ENSMUST00000107411.3	0	0	0	0	0	1	262	70	1368
ENSMUSG00000054150	Syne3	ENSMUST00000095439.11	0	0	6	0	0	4	140	292	2925
ENSMUSG00000054156	Gm4894	ENSMUST00000216428.2	5	0	0	0	0	0	1814	126	354
ENSMUSG00000054160	Nkx2-4	ENSMUST00000067020.3	0	0	0	0	0	2	563	100	1062
ENSMUSG00000054161	Fam83e	ENSMUST00000129507.5	0	0	0	0	2	2	496	969	1443
ENSMUSG00000054162	Spock3	ENSMUST00000117377.8	0	0	19	0	0	0	1474	293	1299
ENSMUSG00000054169	Ceacam10	ENSMUST00000038069.9	0	0	3	0	1	6	183	70	795
ENSMUSG00000054191	Klf1	ENSMUST00000067060.10	0	0	0	1	0	4	355	101	1074
ENSMUSG00000054196	Cthrc1	ENSMUST00000067072.5	4	0	91	1	2	15	359	72	735
ENSMUSG00000054199	Gon4l	ENSMUST00000107498.9	271	0	1369	105	37	1244	719	92	6726
ENSMUSG00000054200	Ffar4	ENSMUST00000067098.8	0	0	0	0	0	1	262	56	1083
ENSMUSG00000054203	Ifi205	ENSMUST00000059226.7	0	0	0	0	0	0	249	152	1212
ENSMUSG00000054204	Alkal2	ENSMUST00000067087.7	0	0	0	0	0	0	594	462	453
ENSMUSG00000054206	Gzmm	ENSMUST00000020549.4	0	0	0	2	4	2	104	391	792
ENSMUSG00000054215	Sprr2k	ENSMUST00000067102.3	0	0	0	0	0	1	377	56	204
ENSMUSG00000054226	Tprkb	ENSMUST00000113753.8	266	21	69	92	24	37	1425	272	525
ENSMUSG00000054236	Olfr481	ENSMUST00000213601.2	0	0	0	0	28	0	4093	218	936
ENSMUSG00000054237	Fra10ac1	ENSMUST00000067167.6	9	16	494	41	22	117	280	177	945
ENSMUSG00000054252	Fgfr3	ENSMUST00000169212.9	0	0	6	2	0	6	1511	334	2400
ENSMUSG00000054256	Msi1	ENSMUST00000150779.8	16	0	23	38	0	14	1898	149	1086
ENSMUSG00000054263	Lifr	ENSMUST00000067190.12	380	62	2640	28	16	324	577	290	3276
ENSMUSG00000054266	Serpinb9d	ENSMUST00000067198.3	0	0	0	0	0	0	48	71	1131
ENSMUSG00000054272	Zscan4c	ENSMUST00000131379.4	0	0	0	0	0	1	554	204	1518
ENSMUSG00000054277	Arfgap3	ENSMUST00000067215.9	3	0	20	27	5	87	949	98	1572
ENSMUSG00000054280	Prr14l	ENSMUST00000120129.9	458	42	712	293	27	446	3715	331	5913
ENSMUSG00000054293	P2ry10b	ENSMUST00000067249.3	0	0	0	1	0	0	1566	382	1056
ENSMUSG00000054302	Eapp	ENSMUST00000161592.8	266	10	460	44	10	137	3246	97	843
ENSMUSG00000054309	Cpsf3	ENSMUST00000067284.10	0	44	1167	68	46	941	310	137	2052
ENSMUSG00000054310	Obox1	ENSMUST00000067288.15	0	0	0	0	0	0	521	379	612
ENSMUSG00000054312	Mrps21	ENSMUST00000067298.5	0	18	128	30	18	122	121	106	261
ENSMUSG00000054320	Lrrc36	ENSMUST00000067305.8	0	0	7	0	0	1	121	59	1902
ENSMUSG00000054321	Taf4b	ENSMUST00000169862.2	147	0	148	63	11	122	2234	350	2565
ENSMUSG00000054325	Lce3a	ENSMUST00000067318.6	0	0	0	0	0	0	211	44	294
ENSMUSG00000054342	Kcnn4	ENSMUST00000171904.3	0	0	0	0	0	1	577	138	1275
ENSMUSG00000054360	Bsx	ENSMUST00000067375.5	0	0	0	8	0	0	2213	51	696
ENSMUSG00000054362	Lexm	ENSMUST00000106788.2	5	0	20	2	0	7	308	19	1242
ENSMUSG00000054364	Rhob	ENSMUST00000067384.6	40	1	17	36	9	24	1384	377	588
ENSMUSG00000054381	Zfp747	ENSMUST00000067425.6	54	6	0	35	0	44	1194	224	1266
ENSMUSG00000054383	Pnma1	ENSMUST00000061425.3	0	0	4	0	0	0	738	562	1059
ENSMUSG00000054385	Ceacam2	ENSMUST00000066503.14	11	1	0	34	0	6	2027	93	1020
ENSMUSG00000054387	Mdm4	ENSMUST00000188090.7	1591	9	781	1108	22	508	5439	199	1467
ENSMUSG00000054400	Cklf	ENSMUST00000034342.13	0	5	46	0	1	20	54	157	456
ENSMUSG00000054404	Slfn5	ENSMUST00000067443.10	6	0	0	944	0	3	3139	188	2652
ENSMUSG00000054405	Dnajc8	ENSMUST00000094657.10	139	5	465	285	4	337	606	36	759
ENSMUSG00000054406	Olfr411	ENSMUST00000214769.2	0	0	0	1	0	0	1509	91	945
ENSMUSG00000054408	Spcs3	ENSMUST00000067476.9	3684	1	589	364	3	121	2833	93	540
ENSMUSG00000054409	Tmem74	ENSMUST00000067469.6	24	0	0	2	0	2	2085	528	915
ENSMUSG00000054414	Slc30a7	ENSMUST00000067485.4	528	7	209	81	4	82	7694	192	1134
ENSMUSG00000054417	Cyp3a44	ENSMUST00000067479.6	0	0	0	0	0	0	365	85	1512
ENSMUSG00000054422	Fabp1	ENSMUST00000067492.8	0	0	0	0	0	0	72	100	381
ENSMUSG00000054423	Cadps	ENSMUST00000067491.14	0	0	7	1	0	1	1031	307	4083
ENSMUSG00000054428	Atpif1	ENSMUST00000067496.7	159	31	683	261	46	899	130	91	318
ENSMUSG00000054431	Olfr450	ENSMUST00000218832.2	0	0	0	0	0	0	679	290	930
ENSMUSG00000054434	Tmem120b	ENSMUST00000067505.15	20	0	74	17	1	26	995	152	1017
ENSMUSG00000054435	Gimap4	ENSMUST00000067506.14	0	0	0	0	0	0	642	60	657
ENSMUSG00000054446	Cpa1	ENSMUST00000031806.10	0	0	0	0	0	0	80	246	1257
ENSMUSG00000054452	Tle5	ENSMUST00000002518.9	268	35	797	255	17	706	672	148	591
ENSMUSG00000054453	Sytl5	ENSMUST00000067529.9	0	0	12	0	0	1	3	39	2259
ENSMUSG00000054455	Vapb	ENSMUST00000067530.6	1331	5	237	309	3	206	6121	182	729
ENSMUSG00000054459	Vsnl1	ENSMUST00000072299.7	0	0	0	0	0	0	1068	262	573
ENSMUSG00000054469	Lclat1	ENSMUST00000067545.8	260	4	255	72	16	26	3151	188	1128
ENSMUSG00000054474	Thnsl2	ENSMUST00000160918.8	4	0	11	3	1	16	467	161	1449
ENSMUSG00000054477	Kcnn2	ENSMUST00000183850.8	10	0	17	0	9	17	324	1500	1722
ENSMUSG00000054484	Tmem62	ENSMUST00000067582.14	0	0	20	3	0	10	710	282	1929
ENSMUSG00000054497	Tas2r130	ENSMUST00000067597.5	0	0	0	0	0	0	72	82	936
ENSMUSG00000054498	Olfr308	ENSMUST00000214977.2	5	0	0	0	0	0	2809	1258	924
ENSMUSG00000054499	Dedd2	ENSMUST00000058702.7	93	0	11	63	9	132	703	135	990
ENSMUSG00000054509	Parp4	ENSMUST00000161553.2	1	0	79	0	3	31	367	113	5907
ENSMUSG00000054517	Trim65	ENSMUST00000067632.4	17	0	8	2	0	0	1361	121	1566
ENSMUSG00000054519	Zfp867	ENSMUST00000057799.8	20	2	82	14	5	30	1886	107	1419
ENSMUSG00000054520	Sh3bp2	ENSMUST00000179943.3	12	0	12	11	1	21	1145	113	1677
ENSMUSG00000054523	Ms4a5	ENSMUST00000067673.13	0	0	0	0	0	0	334	80	591
ENSMUSG00000054526	Olfr1500	ENSMUST00000214475.2	0	0	0	0	0	0	580	1184	933
ENSMUSG00000054537	Tmprss11e	ENSMUST00000161306.2	0	0	0	0	0	0	2090	57	1269
ENSMUSG00000054545	Ugt1a6a	ENSMUST00000113134.8	12	0	0	0	0	1	576	128	1593
ENSMUSG00000054555	Adam12	ENSMUST00000067680.11	0	0	0	0	0	0	4746	220	2709
ENSMUSG00000054568	Usp17la	ENSMUST00000067695.8	3	0	1	13	0	0	900	178	1578
ENSMUSG00000054580	Pla2r1	ENSMUST00000112525.5	0	0	3	0	0	1	2473	178	4461
ENSMUSG00000054582	Pabpc1l	ENSMUST00000067715.5	1	0	0	2	0	1	502	31	1821
ENSMUSG00000054594	Oscar	ENSMUST00000039507.15	5	0	0	1	0	0	954	56	813
ENSMUSG00000054598	9130230L23Rik	ENSMUST00000201351.4	0	0	0	0	1	0	350	615	489
ENSMUSG00000054604	Cggbp1	ENSMUST00000067744.8	2592	180	311	429	97	119	3434	490	501
ENSMUSG00000054611	Kdm2a	ENSMUST00000047898.14	513	20	614	333	5	489	4684	411	3483
ENSMUSG00000054612	Mgmt	ENSMUST00000081510.4	24	0	2	5	6	16	2175	86	633
ENSMUSG00000054619	Mettl7a1	ENSMUST00000067752.5	160	0	67	45	1	53	1128	86	732
ENSMUSG00000054626	Xlr	ENSMUST00000067763.10	0	0	0	0	1	0	287	121	624
ENSMUSG00000054630	Ugt2b5	ENSMUST00000067790.7	0	0	5	0	0	0	256	12	1590
ENSMUSG00000054640	Slc8a1	ENSMUST00000163123.3	0	0	17	0	0	1	170	100	2910
ENSMUSG00000054641	Mmrn1	ENSMUST00000129603.4	0	0	0	0	0	0	762	85	3630
ENSMUSG00000054648	Zfp869	ENSMUST00000238292.2	225	6	125	63	30	70	3679	814	1587
ENSMUSG00000054659	Pm20d2	ENSMUST00000119167.2	0	0	11	0	3	14	67	357	915
ENSMUSG00000054662	Ano9	ENSMUST00000067836.9	32	2	166	75	15	489	691	87	2241
ENSMUSG00000054666	Olfr63	ENSMUST00000217023.3	69	0	0	12	0	0	5971	104	948
ENSMUSG00000054667	Irs4	ENSMUST00000067841.8	4	0	13	5	0	6	2581	65	3648
ENSMUSG00000054672	Scart2	ENSMUST00000164583.8	0	0	0	0	0	0	3	3	3336
ENSMUSG00000054675	Tmem119	ENSMUST00000067853.6	4	2	0	0	0	2	1170	232	840
ENSMUSG00000054676	1600014C10Rik	ENSMUST00000178207.10	24	6	0	17	1	7	2601	316	423
ENSMUSG00000054679	Srsf12	ENSMUST00000067864.8	12	0	0	0	0	0	2050	91	798
ENSMUSG00000054690	Emcn	ENSMUST00000122064.8	0	0	0	0	2	2	1632	173	783
ENSMUSG00000054693	Adam10	ENSMUST00000067880.13	883	20	1791	67	9	102	2138	208	2247
ENSMUSG00000054702	Ap1s3	ENSMUST00000162342.8	193	0	176	72	6	16	2294	120	462
ENSMUSG00000054708	Ankrd24	ENSMUST00000119336.8	99	0	21	29	1	83	436	170	2955
ENSMUSG00000054715	Zscan22	ENSMUST00000055528.11	8	0	14	11	2	13	921	211	1488
ENSMUSG00000054716	Zfp771	ENSMUST00000052509.6	21	0	69	11	4	33	189	344	951
ENSMUSG00000054717	Hmgb2	ENSMUST00000067925.8	754	85	21	198	411	1149	1875	123	630
ENSMUSG00000054720	Lrrc8c	ENSMUST00000067924.13	6	1	60	2	2	6	4249	318	2409
ENSMUSG00000054723	Vmac	ENSMUST00000067931.7	32	0	5	34	2	30	1551	153	522
ENSMUSG00000054727	1700013H16Rik	ENSMUST00000067940.3	0	0	0	0	0	2	268	83	873
ENSMUSG00000054728	Phactr1	ENSMUST00000128646.8	3	0	0	3	0	1	3338	352	1740
ENSMUSG00000054733	Msra	ENSMUST00000067927.9	44	0	20	11	0	10	567	594	699
ENSMUSG00000054737	Zfp182	ENSMUST00000115333.9	161	9	34	7	1	14	1128	121	1881
ENSMUSG00000054745	Gm9955	ENSMUST00000067987.2	0	0	0	0	0	0	3	0	306
ENSMUSG00000054746	Abca15	ENSMUST00000076272.5	0	0	0	0	0	0	169	162	5004
ENSMUSG00000054752	Fsd1l	ENSMUST00000132151.8	747	0	229	61	3	50	5849	127	1491
ENSMUSG00000054753	AU018091	ENSMUST00000171749.3	3702	3	2013	264	1	926	1323	74	2052
ENSMUSG00000054757	Akr1c20	ENSMUST00000080361.13	0	0	8	0	0	0	337	31	969
ENSMUSG00000054759	Krtap5-2	ENSMUST00000190456.2	0	0	0	0	0	0	306	64	1101
ENSMUSG00000054763	Defb42	ENSMUST00000067990.8	17	0	5	0	1	4	213	180	225
ENSMUSG00000054764	Mtnr1a	ENSMUST00000067984.9	0	0	0	0	0	0	444	73	1059
ENSMUSG00000054766	Set	ENSMUST00000102866.10	7209	5	63	4072	285	3565	1638	319	867
ENSMUSG00000054770	Kctd18	ENSMUST00000114410.10	63	0	78	25	4	54	1083	142	1287
ENSMUSG00000054792	Klhl18	ENSMUST00000068025.13	18	0	17	18	0	40	2708	100	1722
ENSMUSG00000054793	Cadm4	ENSMUST00000068023.8	76	0	81	19	0	83	921	76	1164
ENSMUSG00000054808	Actn4	ENSMUST00000068045.14	1905	157	9330	538	156	3857	984	157	2736
ENSMUSG00000054814	Usp46	ENSMUST00000068058.14	209	0	112	46	0	48	3313	146	1098
ENSMUSG00000054823	Nsd3	ENSMUST00000146919.8	27	7	672	12	26	92	1190	497	1965
ENSMUSG00000054827	Cyp2c50	ENSMUST00000080171.3	0	0	0	0	0	0	338	4	1470
ENSMUSG00000054836	Elp6	ENSMUST00000199592.5	23	0	28	81	9	95	383	123	798
ENSMUSG00000054843	Atrnl1	ENSMUST00000077282.7	67	4	269	11	7	71	2132	320	4134
ENSMUSG00000054850	Smim10l2a	ENSMUST00000068106.5	44	2	0	33	0	5	2108	51	234
ENSMUSG00000054855	Rnd1	ENSMUST00000003451.11	17	0	26	15	1	22	1395	112	696
ENSMUSG00000054863	Tafa5	ENSMUST00000068088.8	29	0	0	14	2	16	2062	166	375
ENSMUSG00000054871	Tmem158	ENSMUST00000068140.6	36	0	1	5	1	3	635	219	858
ENSMUSG00000054874	Pcnx3	ENSMUST00000113615.9	31	8	729	35	31	634	421	759	6084
ENSMUSG00000054885	4930578G10Rik	ENSMUST00000107984.2	0	0	0	0	0	1	255	48	459
ENSMUSG00000054889	Dsp	ENSMUST00000124830.3	18	0	512	8	3	175	648	295	8649
ENSMUSG00000054890	Olfr1535	ENSMUST00000217519.2	0	36	0	0	0	0	1149	1832	978
ENSMUSG00000054892	Txk	ENSMUST00000169534.6	0	0	0	0	0	0	596	167	1581
ENSMUSG00000054893	Zfp667	ENSMUST00000170776.8	159	0	90	39	6	28	1701	157	1827
ENSMUSG00000054894	Dmac2l	ENSMUST00000220916.2	3	5	20	1	10	20	830	169	600
ENSMUSG00000054901	Arhgef33	ENSMUST00000068175.6	0	0	0	0	0	1	515	195	2550
ENSMUSG00000054905	Stfa3	ENSMUST00000068182.3	0	0	0	0	0	0	75	28	309
ENSMUSG00000054920	Klhl5	ENSMUST00000204097.3	68	10	104	11	10	43	1082	363	1704
ENSMUSG00000054931	Zkscan4	ENSMUST00000062609.6	0	0	17	0	4	28	774	186	1440
ENSMUSG00000054932	Afp	ENSMUST00000042755.7	0	0	6	0	0	0	204	44	1815
ENSMUSG00000054934	Kcnmb4	ENSMUST00000068233.11	0	0	0	0	0	2	380	357	630
ENSMUSG00000054938	Olfr1346	ENSMUST00000215302.3	7	3	0	14	0	0	3062	524	939
ENSMUSG00000054939	Zfp174	ENSMUST00000041778.8	17	6	0	14	2	0	4071	605	1221
ENSMUSG00000054940	Olfr137	ENSMUST00000213505.2	0	0	0	0	0	0	997	581	936
ENSMUSG00000054942	Miga1	ENSMUST00000073089.13	2100	124	1409	167	52	247	2789	376	1800
ENSMUSG00000054951	9130008F23Rik	ENSMUST00000068258.3	0	0	0	0	0	0	1594	22	543
ENSMUSG00000054958	Nt5c1a	ENSMUST00000068262.6	0	0	0	0	0	0	71	54	1095
ENSMUSG00000054966	Lmntd1	ENSMUST00000111708.9	0	0	3	0	0	0	141	179	1239
ENSMUSG00000054967	Zfp647	ENSMUST00000048854.8	0	0	16	0	0	30	3	0	1605
ENSMUSG00000054976	Nyap2	ENSMUST00000123285.2	0	0	0	0	0	0	5026	327	2148
ENSMUSG00000054978	Kbtbd13	ENSMUST00000068307.4	0	0	0	3	0	0	1595	0	1374
ENSMUSG00000054986	Sec14l3	ENSMUST00000068322.7	3	0	0	0	0	0	1372	111	1203
ENSMUSG00000054988	Agtr1b	ENSMUST00000068316.8	0	0	0	0	0	0	891	179	1077
ENSMUSG00000054994	AV320801	ENSMUST00000068340.3	0	0	0	4	0	1	2051	246	1401
ENSMUSG00000054999	Naaladl1	ENSMUST00000044451.4	0	0	8	3	1	20	240	16	2235
ENSMUSG00000055003	Lrtm2	ENSMUST00000112756.8	3	0	0	11	0	8	1926	533	1110
ENSMUSG00000055010	A830031A19Rik	ENSMUST00000068360.2	0	0	3	0	0	0	301	117	339
ENSMUSG00000055013	Agap1	ENSMUST00000027521.15	417	13	333	118	9	233	8726	624	2571
ENSMUSG00000055022	Cntn1	ENSMUST00000000109.11	0	0	17	0	0	0	2367	219	3060
ENSMUSG00000055024	Ep300	ENSMUST00000068387.11	294	48	1257	75	90	1064	1098	1232	7236
ENSMUSG00000055026	Gabrg3	ENSMUST00000068911.13	9	0	0	0	0	0	7951	415	1401
ENSMUSG00000055027	Smyd1	ENSMUST00000114186.9	46	0	0	11	0	16	1812	49	1431
ENSMUSG00000055030	Sprr2e	ENSMUST00000068399.2	0	0	0	0	0	0	358	61	228
